 uniform	制服
"It has come to my attention that you have met Orat. If you have proof of Orat's demise, drop it for my inspection.	「我已經知道你遇見了歐拉特。如果你有歐拉特死亡的證明，就放下來讓我過目。
A massive holographic image appears before you. You sense that you are the only life form in the area.	一個巨大的全息影像出現在你面前。你感覺到，這附近只有你一個生命體存在。
Again, the massive holographic image appears before you.	那尊巨大的全像影像，再度出現在你面前。
Because of your inability to understand the alien's language, he has sent you back to the surface.	因為你聽不懂外星人講的話，他把你送回地面上了。
You can't do that right now.	你現在辦不到這件事。
Glass now in possession	已取得玻璃
You can't see that here	你在這裡看不到那個
The pod seems to be semi-destroyed.  A glimmering catches your eye.  Upon closer inspection you see that a piece of highly reflective glass has broken out of the pod window.	逃生艙看起來半毀了。一道閃光吸引了你的目光，你湊近一看，發現逃生艙的窗戶碎了一片高反射玻璃出來。
The pod seems to be semi-destroyed.	逃生艙看起來半毀了。
You are not close enough to see it well.	你離得不夠近，看不清楚。
Hold your breath!	先憋一口氣！
It's quite sandy down there. You see that a piece of highly reflective glass has broken out of the pod window.	下面滿是沙子。你看到逃生艙的窗戶碎了一片高反射玻璃出來。
You seem to be located in an incredibly remote area. There is a thrashed escape pod here.	你似乎待在一個荒涼到不行的地方，這裡有一艘殘破的逃生艙。
That would be done best from inside.	這件事從裡面做最好。
That's an interesting form of entertainment.	這種娛樂方式還真特別。
The window was shattered by the impact of landing.	窗戶在降落撞擊時碎掉了。
You see only darkness through the shattered window.	透過破掉的窗戶，你只看得到一片漆黑。
The pod is definitely destroyed beyond repair. You can't help it.	這艘逃生艙已經徹底報銷，沒救了，你也無能為力。
Please, don't be alarmed. We intend no harm. We are a peaceful race. We are cautious, however. Others don't share our way of life. Welcome to Kerona.	別緊張，我們沒有惡意。我們是愛好和平的種族，只是比較謹慎，因為不是每個人都跟我們一樣過活。歡迎來到柯羅娜星。
You are standing in the power generation facility of our underground settlement. All power here is produced by steam. That is unimportant to you, however. We have promised you transportation.	你現在站在我們地底聚落的發電設施裡，這裡所有的電力都靠蒸汽產生。不過這對你來說不重要，我們答應過會送你一程。
It is a Skimmer. It hovers approximately 1/2 meter above the traveling surface. This is very important because of Grell.	這是一台沙漠飛車，會懸浮在行進路面上方約半公尺處。這一點非常重要，因為格瑞爾的關係。
Grell and his like dwell in caves below the sand. If you stand on the surface too long you chance becoming a rare moist meal for him.	格瑞爾和牠的同類就住在沙子底下的洞穴裡。你要是在地面上待太久，就有可能變成牠難得一見的鮮嫩大餐。
The skimmer is programmed to take you to a settlement on the other side of Kerona called Ulence Flats. You can make further travel arrangements there.	這台沙漠飛車已經設定好，會載你到柯羅娜星另一側一個叫尤倫斯荒原的聚落。你可以在那裡安排後續的行程。
I am sorry this is all we can offer. I hope your trip is a safe one. Board the skimmer when you are ready to depart. Good luck, strange one.	很抱歉，我們能提供的就只有這些了。祝你一路平安，準備好了就上沙漠飛車出發吧。祝你好運，陌生的旅人。
You don't have one.	你身上沒有這個東西。
  Whosoever shall read this:  My name	        看到這封信的人：我的名字
 is Dr. Slash Vohaul. I am a scientist	 是史萊許·沃霍爾博士，我是一名科學家，
 with The Star Generator Project aboard	      任職於『星辰產生器計畫』，隨
         the Starlab Arcada.	      阿寇達號科學實驗船出勤。
  We have just successfully completed	            我們才剛成功完成
  development and testing of The Star	            『星辰產生器』的
  Generator. During this time I have	       研發與測試。這段期間，我
 come to believe that our progress has	          開始相信，我們的進度
 been monitored by others. I fear that	        一直被人監視著。我擔心
  the Sariens may have learned of our	      沙利安人可能已經得知我們的
               mission.	                任務。
   If my fears prove true, The Star	      如果我的擔憂成真，這座星辰
   Generator and the people of our	          產生器與我們的宇宙
  universe are in serious jeopardy.	      全體人民正陷入嚴重危機。
  The Star Generator is a miraculous	       星辰產生器是一項奇蹟般的
device. Used as intended, it will help	裝置。若依正常方式使用，將能
 preserve life for eons to come.  Used	        保存生命萬古長存。  但若
 as a device for evil, it would cause	       被用於邪惡目的，則會導致
 the destruction of millions of lives	         數百萬條生命的毀滅，
      and enslave all who oppose	            並奴役所有反抗
             the Sariens.	            沙利安人的人。
 Encoded within this cartridge are all	          本卡匣內記錄了建造
   plans and specifications for the	             星辰產生器的
  construction of the Star Generator.	            完整計畫與規格。
  Should any disaster befall the Star	          萬一星辰產生器計畫
  Generator project, scientists would	          遭逢任何意外，科學家
  be able to create a duplicate of the	             仍可憑這份資料
 Star Generator with this information.	        複製出一台星辰產生器。
   Please guard this with your life.	          請務必拚死守護此物。
 Return it to the Xenon ruling body as	          儘速將它送回氙星的
        quickly as is possible.	              統治機構。
  Important note: The Star Generator	         重要提示：星辰產生器
   is capable of self-destruction.	          具備自我摧毀能力。
 This was introduced to the system as a	            這是作為預防措施
     precaution. To activate it one	           加入系統的。啟動它
          must enter the code:	             必須輸入密碼：
    A five minute timer will begin	           屆時將開始五分鐘
 to count down. Beware - anyone within	            倒數計時。注意——
 five kilometers of the Star Generator	        星辰產生器方圓五公里內
 will be in danger once the timer has	       的任何人，一旦計時器啟動
been initiated.  Please be careful and	都會陷入危險。  請小心行事，
              good luck!	              祝你好運！
The cartridge snaps neatly into the slot and the screen comes alive.	資料匣喀地一聲穩穩卡進插槽，螢幕跟著亮了起來。
You wisely retrieve the cartridge from its slot.	你很明智地把卡匣從插槽裡取回來了。
There is nothing there.	那裡什麼都沒有。
You turn the key and suddenly the jet turbines begin to whir. The skimmer begins to shake beneath you, as its platform slowly moves into the launch tube. You can't help but wonder what you've gotten yourself into this time.	你轉動鑰匙，噴射渦輪突然發出嗡嗡聲響。沙漠飛車在你身下開始震動，載台緩緩滑進發射管。你忍不住懷疑，這次自己又惹上什麼麻煩了。
You must board the skimmmer before the key can be turned.	你得先上飛車才能轉動鑰匙。
The key is not in the keyhole.	鑰匙不在鑰匙孔裡。
That thing is not here.	那東西不在這裡。
This place is most interesting, indeed. A mixture of both old and new technologies. On one side of the chamber is a primitive steam generator. Its pistons, pounding rhythmically, turn steam into useful energy. On the other side is what appears to be a computer console.	這地方還真是有意思，新舊科技混在一起。艙房一側是一台原始的蒸汽發電機，活塞有節奏地搥打著，把蒸汽轉換成可用的能源；另一側則是一組看起來像電腦主控台的東西。
There seems to be some steam escaping with each up stroke of the pistons.	活塞每次上衝，似乎都會漏出一些蒸汽。
Catwalks have been built around the units to facilitate maintenance by the unique-looking Keronian workers. A few of them pop out occasionally to make critical adjustments.	機組周圍搭了維修走道，方便長相奇特的柯羅娜工人進行維護。偶爾會有幾個工人冒出來做些關鍵調整。
The door you entered through is shut and apparently is controlled from another location.	你進來的那扇門已經關上，顯然是由別處遙控的。
The console consists of a monitor and a cartridge slot. There are also some read-outs which indicate the status of some of the mechanisms in here.	主控台上有一個螢幕與一個卡匣插槽，另外還有幾組顯示器，標示著這裡部分機件的運作狀態。
As described, it is a sand skimmer and it looks like it has skimmed quite a bit of sand in its time. On it is a panel which has a small readout, currently dark, and a keyhole with a key in it.	正如其名，這是一台沙漠飛車，看起來已經在沙地上飛馳過不少歲月了。上面有個面板，裝了一個小螢幕（目前是暗的），還有一個插著鑰匙的鑰匙孔。
These people of Kerona are an odd-looking lot. You can't pin it down but you are sure something is different about them.	這些柯羅娜星的居民長得挺古怪。你說不上哪裡不對勁，但你很確定他們有些地方跟一般人不一樣。
You remove the key from the skimmer.	你把鑰匙從飛車上拔了下來。
The walls are flat and featureless except for the back wall, which is partially covered by a console.	牆壁平坦而單調，只有後牆有一部分被主控台擋住。
You are already aboard.	你已經在上面了。
That is not possible at this time.	現在辦不到。
The being does not respond. He speaks only when it is his will to do so.	這個生物沒有反應，牠只在自己想開口時才會說話。
The beings are busy working and have no time to chat.	這些生物正忙著工作，沒空跟你閒聊。
As described, it is a sand skimmer and it looks like it has skimmed quite a bit of sand in its time. On it is a panel which has a small readout, currently dark, and an empty keyhole in it.	正如描述的那樣，這是一台沙漠飛車，看起來已經在沙地上跑過不少路了。上面有一個面板，裝著一個目前暗著的小顯示器，還有一個空著的鑰匙孔。
The panel has an ignition switch. There is a key in it.	面板上有個點火開關，裡面插著鑰匙。
The panel has an ignition switch. There is no key in it.	面板上有個點火開關，裡面沒有鑰匙。
A few of the Keronians above you carry out their various tasks.	你上方有幾個柯羅娜人正在做各自的工作。
You notice that the slot is just about the size of a data cartridge.	你注意到這個插槽的大小差不多剛好能放進一個資料匣。
You notice that the slot is just about the size of a data cartridge. In fact, there is one in there now.	你注意到這個插槽的大小差不多剛好能放進一個資料匣。事實上，現在裡面就插著一個。
The ignition switch has a hole for a key which is currently filled.	點火開關上有個鑰匙孔，目前插著鑰匙。
The ignition switch has a hole for a key which is currently empty.	點火開關上有個鑰匙孔，目前是空的。
Damage Report: Minor	損害報告：輕微
Damage Report: Moderate	損害報告：中等
Damage Report: Serious!	損害報告：嚴重！
Warning: Damage Situation Critical!	警告：損害狀況危急！
THUMP!!	砰！！
Had you eaten a few less donuts during the mission, you might have cleared that rock, %s1.	要是你這趟任務少吃幾個甜甜圈，%s1，說不定就閃得過那塊石頭了。
The settlement the alien spoke of appears on the horizon.	那個外星人提過的聚落出現在地平線上。
Whew! That was pretty intense. You've managed to successfully navigate through the treacherous boulder field, and are quite relieved to see that you've reached the settlement.	呼！剛剛那段真的挺刺激的。你總算成功穿過那片險惡的巨石區，看到自己終於抵達聚落，鬆了好大一口氣。
"Howdy, Bucko! Can I interest you in one of the finest little used space ships in the galaxy? You look like a man of discerning taste."	「嗨啊，小夥子！要不要考慮一下本銀河系數一數二的優質二手太空船？看你這副樣子，就知道是個懂貨的人。」
"Well, this is quite a unique little unit. Never been flown over Mach 3. It was owned by a little old lady from Glansadrom. You have to fly it to believe it. And she can be yours for only 99 buckazoids."	「哦，這台可是獨一無二的寶貝，從沒飛超過三馬赫，前任車主是格蘭沙德倫來的一位老太太，開過一次你就會信。只要 99 枚太空幣，這台就是你的了。」
"Don't let appearances fool ya. This baby may be a relic, I mean, a classic, but she's as dependable as the day we got her. And just think, you'll be the only one in the quadrant with one. I guarantee it!"	「別被外表騙了。這寶貝雖然有點年紀，我是說，算是經典款啦，但她可靠得跟我們剛拿到她那天一模一樣。你想想看，整個星區就你有這一台，我掛保證！」
"So whaddaya think? Is she a diamond in the rough, or what? And only 129 buckazoids."	「怎麼樣，覺得如何？這根本是一塊璞玉吧？只要 129 枚太空幣。」
"So how 'bout it partner? Can I interest you in anything here? Can we do business, or what? I'm at your service. Talk to me, chief."	「那怎麼樣，夥伴？這裡有什麼合你胃口的嗎？我們談得成生意嗎？我隨時奉陪，有話直說吧，老大。」
She's a beaut, isn't she? This little baby can do a spin around the planet in just under an hour. Look at the lines in that body work. They just don't make 'em like this any more, ya' know what I mean?  And she's a real bargain at 185 buckazoids.	她很漂亮吧？這小妞繞行星一圈不用一個鐘頭。你看看那車身線條，現在已經沒人做得出這種貨色了，你懂我意思吧？才185枚太空幣，真的划算。
Of course, minus your 70 buckazoid credit that would come to 115 buckazoids.	當然啦，扣掉你 70 枚太空幣的抵扣額，這樣算下來是 115 枚太空幣。
You shell out the buckazoids and hop in. Anxiously, you fire it up and lift off.	你掏出太空幣付了錢，跳上飛船。你緊張地發動引擎，升空而去。
You are standing near one of Tiny's used spacecraft. Upon close inspection they appear to have quite a few kilometers on them.	你站在小不點的一台二手太空船旁邊。仔細一看，這些船顯然都跑過不少里程了。
You are on Tiny's Used Spacecraft lot. There are only a few ships to choose from. Impossible to miss is the incredibly talkative, not to mention rotund, owner, Tiny. He is most certainly an unusual looking being.	你正站在小不點的二手太空船場。這裡能挑的船不多，但絕對不會漏看的是老闆小不點——超級愛講話，體型又渾圓。他絕對是個長相奇特的生物。
"So what are ya trying to pull? If you don't have the cash you can hit the road. Go on, get out of here. You're wasting my time!"	「你在耍什麼把戲啊？沒現金就滾一邊去。走啦，快點滾，別浪費我的時間！」
"I tell ya, I think you've made a wise decision. She's a beauty. The keys are in her. If you have any problems don't hesitate to come back and tell us about 'em."	「老實跟你說，我覺得你這個決定很明智。她漂亮得很，鑰匙就插在裡面。有什麼問題儘管回來跟我們說一聲。」
"It's been a heckuva pleasure doin' business with you. Oh, by the way, you're gonna need a droid to help you fly that thing. Well, good luck. Come again."	「跟你做生意真是一大樂事。對了，你會需要一台機器人才能幫你開那玩意兒。祝你好運，歡迎再來。」
There is nothing here to buy.	這裡沒有可以買的東西。
"We have a motto. You don't mess with it - You don't die!"	「我們有句座右銘：別亂搞，就不會死！」
Off you go into the purple yonder.	你就這樣飛向那片紫色的遠方去了。
"It's been a heckuva pleasure doin' business with you. Well, good luck. Come again!"	「跟你做生意真是一大樂事啊。祝你好運，歡迎再來！」
"Well, geez, guy! It seems it's developed some minor malfunction since we acquired it. We did have a small micro-meteroid shower the other day. Maybe that was it! Yeah, that was probably it."	「哎呀，天啊，老兄！看來我們收進來以後它出了點小毛病。前幾天是有一場小型微隕石雨啦，說不定就是那個搞的！對，八成就是那樣。」
"Much as I'd like to I can't refund your money. Company policy. It's out of my hands. However, I can give you seventy buckazoids credit on any other ship in our fine line of used spacecraft. Look around, see what you like."	「我也很想退錢給你，但公司規定不行，這不是我能作主的事。不過呢，我可以給你 70 枚太空幣的折抵額，換購我們這批優質二手太空船的任何一台。你四處看看，挑個喜歡的吧。」
You proudly climb into your new used spacecraft. There is definitely something unique about it.	你得意洋洋地爬進你那艘全新的二手太空船，這艘船確實有種說不出的獨特之處。
You turn the key excitedly.	你興奮地轉動鑰匙。
What can be said that isn't seen? Tiny is a large, red skin-covered beast with the personality of a true salesman. Not a prime combination of traits.	有什麼是看不出來的呢？小不點是隻皮膚紅通通的龐然大物，個性根本是天生的業務員。這種組合，實在稱不上討喜。
There is a sign here which indicates that this is Tiny's Used Space Ship Lot.	這裡有塊招牌，寫著這是「小不點的二手太空船賣場」。
There is a small, sturdy office here which unauthorized personnel are not allowed in. It must be a brick ship house.	這裡有一間堅固的小辦公室，未經授權不得進入，看起來是這片船場的門面。
You don't own it.	那不是你的。
You're not close enough.	你離得不夠近。
There are some decorative banners which would seem to indicate that making a purchase at Tiny's can be a festive occasion.	這裡掛著一些裝飾用的旗幟，看起來在暗示，在小不點這裡買東西可以是件喜氣洋洋的事。
You are standing against the protective barrier encircling Ulence Flats. Due to the fact that you are land-based you are not able to pass.	你正靠在圍繞尤倫斯荒原的防護屏障上。由於你是徒步行動，沒辦法通過。
There is a hole here. I'm sure you recall its origin. At the bottom is the fine craft you rode to glory in. There is no reason to explore the hole any further.	這裡有個坑洞，你應該記得它是怎麼來的。坑底躺著那艘帶你風光落地的座駕。沒必要再往這坑裡深究了。
Darn the luck, %s1. You've crashed in the dunes and ended your life. The various inhabitants of the Keronian desert are now feasting on what remains of you. Guess that wasn't such a hot purchase.	運氣真背啊，%s1。你墜毀在沙丘裡，一命嗚呼。柯羅娜沙漠裡的各路居民，現在正在你的殘骸上飽餐一頓。看來那台船買得不怎麼樣。
Tiny's not a great conversationalist. He just wants to sell, sell, sell.	小不點不太會聊天，滿腦子只想著賣、賣、賣。
"Sorry, you can only fly it when you buy it. Oh, by the way, there are no refunds either. Company Policy."	「抱歉，買了才能開。喔對了，也不接受退費，公司規定。」
Stay out of the hole!	別靠近那個洞！
You can own only one ship at a time, town ordinance.	鎮上的規定是一次只能擁有一艘船。
Please remain seated and keep hands inside while the vehicle is moving.	車輛行進時請坐好，並將手留在車內。
You already have it!	你已經拿到了！
You aren't close enough.	你離得不夠近。
Welcome to Ulence Flats	歡迎來到尤倫斯荒原
Taken	已拿走
"Say, this is a genuine Falton sand skimmer. I've been looking for one just like it. I wonder if you would accept %v35 buckazoids?"	「嘿，這是一台正牌的法爾頓沙漠飛車，我一直在找這種款式。不曉得你願不願意收 %v35 枚太空幣？」
"Ok. This is my final offer and I'm only doin' it because you look like you need it pretty bad. I'll give you %v35 buckazoids and I'll throw in this swell jetpack. I only used it once. Works great in zero gravity. You'll love it. Is it a deal? Yes or no?"	「好吧，這是我最後的價碼了，會這麼開也是因為看你真的挺需要用錢。我給你 %v35 枚太空幣，外加這個超讚的噴射背包。我只用過一次，在零重力下超好用，你一定會愛上它。成交嗎？要還是不要？」
"Fine. Be that way."	「好啊，隨便你。」
You're not on one, %s1.	你根本不在上面，%s1。
"Glad we could do business. I'll just take that key. Thank you kindly. Hope your stay in Ulence Flats is an interesting one."	「很高興能跟你做成生意。鑰匙就給我吧，謝啦。祝你在尤倫斯荒原玩得愉快。」
"Glad we could do business. Hope your stay in Ulence Flats is an interesting one."	「很高興能跟你做成生意。祝你在尤倫斯荒原玩得愉快。」
After a truly stone-crushing journey, you have miraculously arrived safely in Ulence Flats. And, just in time too, because the skimmer's power cell has been drained. It will take some time to recharge itself. This place isn't quite what you had expected. It is semi-bleak at best. 	經過一段顛得你骨頭快散的旅程，你奇蹟似地平安抵達尤倫斯荒原。而且來得正是時候，因為飛車的電池已經耗盡了，得花點時間才能自行充電。這地方跟你想像的不太一樣，說好聽點也只是半荒涼而已。 
"I really want a skimmer like this. Here's my offer and I'm only doin' it because you look like you need it pretty bad. I'll give you %v35 buckazoids and I'll throw in this swell jetpack. I've only used it once. Works great in zero gravity. Is it a deal or what? Yes or no?"	「我真的很想要這種款式的飛車。這是我的價碼，會這麼開也是因為看你真的挺需要用錢。我給你 %v35 枚太空幣，外加這個超讚的噴射背包，我只用過一次，在零重力下超好用。成交還是不成交？要還是不要？」
You are at the south edge of Ulence Flats. The area is protected from predators by an electronic barrier which runs around the perimeter of the settlement.	你站在尤倫斯荒原的南側邊緣。這一帶靠一道環繞聚落四周的電子屏障，防止掠食者入侵。
"Say there, pal. It's come to my attention that you're in the market for some transportation."	「嘿，朋友。我聽說你正在找代步工具啊。」
"I may be able to help. If you'll follow me, I'd like to show you a fine little piece of machinery that'll knock your eyes out."	「說不定我能幫上忙。跟我來，我帶你看一台會讓你嚇到說不出話的好機器。」
The sand skimmer is a one-passenger mode of transportation and it looks like it has skimmed quite a bit of sand in its time. On it is a panel which has a small readout, currently dark, and a keyhole with a key in it.	這台沙漠飛車是單人座的交通工具，看起來已經在沙地上跑過不少路了。上面有一個面板，裝著一個目前暗著的小顯示器，還有一個插著鑰匙的鑰匙孔。
There is a small rounded structure here with a door on one side. It is typical of some of the prefab structures used in frontier areas years ago.	這裡有一棟小小的圓形建築，一側開著門，是當年邊境地區常見的那種組合式建築。
Compared to some of the beings you've seen lately, this one looks fairly normal except for the fact that he seems to have a cylinder for a head.	跟你最近見過的一些生物比起來，這位算是相當正常了，只不過牠的頭似乎是個圓柱體。
The man is not interested in idle conversation. He's only interested in the skimmer.	這個人沒興趣閒聊，他只在乎那台沙漠飛車。
You have no way or reason to kill this being.	你沒有辦法、也沒有理由殺掉這個生物。
This being is about the size of a humanoid but has some odd features. He seems to have a friendly-looking mug.	這傢伙體型跟人形生物差不多，但長得有點怪。他那張臉看起來還算和善。
You are standing against the protective barrier encircling Ulence Flats. Due to the fact that you are land-based, you are not able to pass.	你正靠在圍繞尤倫斯荒原的防護屏障上。由於你是徒步行動，沒辦法通過。
He wants you to follow him.	他要你跟著他走。
The fresh air helps you snap out of the stupor which that foul brew was responsible for.	新鮮空氣讓你從那杯難喝飲料造成的恍惚中清醒過來。
Ulence Flats is a typical example of some of the frontier settlements that sprang up in the early days of the Outer Zone exploration several years ago. Unfortunately, this attracted many unsavory individuals looking to make a quick buckazoid. Caution is advised.	尤倫斯荒原是幾年前外域探勘初期冒出來的典型邊境聚落之一。可惜的是，這也引來不少想撈快錢的不三不四人物，建議小心行事。
Turning the key does no good since the skimmer was programmed to get here and go no further.	轉動鑰匙也沒用，這台飛車被設定成只能開到這裡，沒辦法再往前了。
There are couple of other craft here which might belong to the beings inside this building.	這裡還有幾台其他的飛行器，可能是這棟建築裡那些生物的。
The sand skimmer is a one-passenger mode of transportation and it looks like it has skimmed quite a bit of sand in its time. On it is a panel which has a small readout, currently dark, and a keyhole without a key in it.	這台沙漠飛車是單人座的交通工具，看起來已經在沙地上跑過不少路了。上面有一個面板，裝著一個目前暗著的小顯示器，還有一個沒插鑰匙的鑰匙孔。
He can't hear you from there. You'll have to get closer.	他從那裡聽不到你講話啦，你得靠近一點。
"Hey! I'll trade you a jetpack for that sand skimmer. What do you think? Yes or No?"	「嘿！用一個噴射背包跟你換那台沙漠飛車，如何？要還是不要？」
That will do you no good. The power cell is drained. It may take some time to recharge.	那樣沒用。電池已經沒電了，可能要等一陣子才能充飽。
The key is not in its hole.	鑰匙沒插在孔裡。
You are not in a position to do that.	你現在的位置做不了這件事。
You watch as the skimmer is driven away by its new owner.	你看著新主人把沙漠飛車開走了。
My, my. It would appear that your skimmer has become the property of another. I wonder who forgot to remove the key?	哎呀哎呀，看來你的沙漠飛車已經變成別人的財產了。真不知道是誰忘了把鑰匙拔起來呢？
It's not yours anymore. Leave it alone.	那已經不是你的了，別亂碰。
Wise up, %s1! You're already on it.	醒醒吧，%s1！你已經在上面了。
The ships are locked.	這些飛船都鎖住了。
"Hey! I'll gladly take that crusty old skimmer off your hands. What do you think? Yes or No?"	「嘿！你那台破舊的沙漠飛車，我很樂意幫你處理掉。如何？要還是不要？」
The guy (or whatever it is) is busy leaving.	那傢伙（或不管它是什麼東西）正忙著離開。
The skimmer is attempting to leave. Get out of the way, you geek!	沙漠飛車要開走了，讓開啦，你這呆子！
Do not remove the key while the skimmer is in motion.	沙漠飛車還在動的時候別把鑰匙拔掉。
"%v124 buckazoids? I guess it's better than nothing. Here, keep five for yourself. I gotta admit you look like you need it. Well, gotta run. Later, pal."	「%v124 太空幣？總比沒有好吧。來，留五枚給你自己，說真的你看起來滿需要的。好啦，我得閃了，回頭見，老兄。」
Your newly acquired droid seems to have self-destructed. Hope it's under warranty.	你新買的機器人好像自爆了，希望它還在保固期內。
This is the back of the bar at the southeast end of Ulence Flats.	這裡是尤倫斯荒原東南端酒吧的後面。
There is some writing on it.	上面寫著一些字。
It appears to be in Sarien. You're a little rusty in your Sarien but it appears to say "Xenon Bites!"	看起來是沙利安文。你的沙利安語有點生疏，但大概看得出寫的是「氙星遜斃了！」
You're not close enough to see that clearly.	你離得不夠近，看不清楚。
There is a strange pile of very fine white powder here. It's origin puzzles you. It has a strange burnt smell to it.	這裡有一小堆奇怪的白色細粉，你猜不出它是哪來的，還帶著一股怪異的燒焦味。
I'm beginning to understand you a little better now. You snort some of the powder and feel a pain like that of a thousand krebble mites feasting on your nasal membranes.	你現在稍微懂它一點了。你吸了一點粉末，鼻腔立刻痛得像是有上千隻克瑞柏蟲在裡面開派對。
The extremely fine dust seeps between your fingers. There is no need for it anyway. Especially considering its origin.	這超細的粉末從你的指縫間流掉了。反正你也用不上，何況想到它的來源，還是算了吧。
You'd better not move if you want to remain alive.	想活命的話，最好別亂動。
The droid, while looking small is quite heavy and not moveable by you.	這機器人看起來小小一隻，其實重得很，你搬不動。
He just wants your buckazoids but will take your life if he has to.	他只想要你的太空幣，但必要的話他會要你的命。
You now have a throbbing appendage.	你現在有個部位在陣陣抽痛。
"Hold it right there, pal! This is a stick-up! I'll just relieve you of your cash, thank you very much."	「站住別動，老兄！這是搶劫！你的錢，我就不客氣收下囉，謝啦。」
"%v124 buckazoids? I guess it's better than nothing. Here, keep five for yourself. I gotta admit you look like you need it."	「%v124 太空幣？總比沒有好吧。來，留五枚給你自己，說真的你看起來滿需要的。」
"Well, you've got to be leaving now. Go straight back the way you came in. Deviate from that path and you're Grell kibble!"	「好了，你該滾了。原路給我直直走回去，敢亂繞路，你就等著變格瑞爾的飼料吧！」
"I warned you, but, did you listen?"	「我警告過你了，你有聽嗎？」
The mugger impresses upon you that he was quite serious.	那個搶匪讓你清楚感受到，他是玩真的。
The droid is beyond repair. Now you know why it was on sale.	這機器人已經修不好了，現在你知道它為什麼會特價出清了吧。
"Well, there's a man with a good eye. This here is the keenest little scrambler in the hemisphere. Top of the line. Handles like a charm. Perfect for cruising the asteroid fields."	「唷，真有眼光啊。這台可是這半球裡數一數二犀利的飛船，頂級規格，操控起來順到不行，最適合在小行星帶裡巡航了。」
"And she's got all the thrust a guy could need. I tell ya, she's an outright steal at 214 buckazoids."	「她的推力更是應有盡有。老實跟你說，214枚太空幣根本是白撿的價錢。」
"With your 70 buckazoid credit that would come to. . .let's see. . .uhm. . 144 buckazoids."	「加上你的 70 太空幣抵用額度，那樣算下來……讓我看看……呃……是 144 太空幣。」
You need to be closer to the middle of the ladder to be able to climb it.	你得靠近梯子中間一點，才爬得上去。
You can't do that now.	你現在不能這麼做。
"So what are ya trying to pull? If you don't have the cash, you can hit the road. Go on, get out of here. You're wasting my time!"	「你到底想搞什麼把戲？沒錢就滾一邊去，走啦，別浪費我的時間！」
"I tell ya, I think you've made a wise decision. She's a beauty. The keys are in her. If you have any problems, don't hesitate to come back and tell us about 'em."	「跟你說啦，我覺得你這決定很明智。這艘船漂亮得很，鑰匙就在裡面。有什麼問題儘管回來找我們說。」
"We have a motto. You don't own it - You don't mess with it - You don't die!"	「我們有一句座右銘：不是你的——別亂碰——不然會沒命！」
It won't do you any good to be in the ship without a droid to operate it.	沒有機器人操作，你待在船裡也沒用。
You don't own the ship.	這艘船不是你的。
The droid is already loaded.	機器人已經裝載上去了。
You don't have a droid to load.	你沒有機器人可以裝載。
   "Hey! Wait a minute!    	      「嘿！等一下！
 Where do you think you're 	        你以為你要把
  goin' with my ship?!!"   	   我的船開去哪啊？！」
"What sector shall I head for, Sir?" asks the droid.	「長官，我該朝哪個星區前進？」機器人問道。
"Sector HH it is. I will proceed with course entry."	「就 HH 星區。我這就輸入航線。」
"Say what?"	「你說什麼？」
It's just an average, everyday ladder.	就是一把很普通、隨處可見的梯子。
Seated in the cruiser you notice there are no controls here, just a button marked "LOAD". Tiny must have been serious when he said you would need a droid to fly it.	坐進巡洋艦裡，你發現這裡根本沒有操縱裝置，只有一個標著「裝載」的按鈕。看來小不點說你需要機器人才能開這艘船，還真不是在唬你。
This is actually not a bad looking ship. It appears to be a Drallion model cruiser. They have a reputation for quickness and reliability. You are surprised that someone (or something) of Tiny's caliber would be carrying it.	這艘船其實長得不差，看起來是德拉利安型巡洋艦，以速度快、可靠出名。你很意外像小不點這種等級的角色居然會賣這款船。
"Sorry, you can only fly it when you buy it. And, oh by the way, there are no refunds either. Company Policy."	「抱歉，買下來才能開。喔對了，也不能退貨，公司規定。」
That act can not be performed currently.	現在做不了這件事。
That won't do any good until you're in the ship.	你還沒上船，這樣做沒有用。
Please supply coordinates.	請輸入座標。
Looking at the inside of the ship you notice there are no controls here, just a button marked "LOAD". Tiny must have been serious when he said you would need a droid to fly it.	看著船艙內部，你發現這裡根本沒有操縱裝置，只有一個標著「裝載」的按鈕。看來小不點說你需要機器人才能開這艘船，還真不是在唬你。
There is no salesman here.	這裡沒有業務員。
You can't board it because you don't own it.	這艘船不是你的，你不能上船。
This is actually not a bad looking ship. It appears to be a Drallion model cruiser. They have a reputation for quickness and reliability.	這艘船其實長得不差，看起來是德拉利安型巡洋艦，以速度快、可靠出名。
There is no droid in position to load.	沒有機器人在待命位置可以裝載。
You are at the north end of Ulence Flats. There is a building to the east.	你在尤倫斯荒原的北端，東邊有一棟建築物。
There are five buckazoids stuck in the sand behind the building.	建築物後面的沙子裡卡著五枚太空幣。
There is nothing here for you to get.	這裡沒有東西能拿。
It looks like your typical desert dwelling.	看起來就是典型的沙漠住所。
You leave a moist arch on the building's side.	你在建築物側邊留下一道濕漉漉的弧線。
You beam with pride having just written your name in the sand.	你得意洋洋，剛剛才在沙地上寫下自己的名字。
Drat! You could have done without that sudden gust of wind.	可惡！這陣風偏偏挑這時候吹，你根本用不著。
This is the exterior of Droids-B-Us. There is a door here.	這裡是「機器人量販店」的外面，這裡有一扇門。
The sign says "Droids-B-Us". That's it.	招牌上寫著『機器人量販店』，就這樣。
The droid waits outside for you.	機器人在外面等你。
